order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,delivery_discount,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD041775,ID6167417939,2022-11-25,Nickolson,"[('Candle Inferno', 1), ('Universe Note', 1)]",3880,86.081,-37.8150467,144.9601595,0,Spring,True,0.91546,"will not stay on the phone frequently powers off and will not turn on again. it gets stuck in the reboot loop and i need to pull the battery any time i need to make a call. should be fine if i need to call my folks, but not helpful at all if i needed to make an emergency call.",False
ORD260731,ID5301568579,2022-03-05,Thompson,"[('Toshika 750', 2), ('Olivia x460', 2), ('Universe Note', 2), ('Lucent 330S', 2)]",20450,65.126,-37.808675,144.9423368,0,Autumn,False,0.60933,four stars i love it,True
ORD483772,ID2400289305,2022-10-25,Bakers,"[('pearTV', 1), ('Alcon 10', 1)]",15260,79.578,-37.8055935,144.9835296,0,Spring,False,1.13994,very nice! everything is working fine. just have to 100% learn the commands,True
ORD025148,ID3367904406,2022-09-06,Nickolson,"[('iAssist Line', 2), ('Thunder line', 2), ('Toshika 750', 1), ('Alcon 10', 2)]",31030,44.965,-37.81293270000001,144.9680768,25,Spring,False,0.6435,waste of money this is not unlocked.. bought this as a gift to be use in the philippines but they cannot use it.. waste of money! 😠😠😠,False
ORD329595,ID1879216504,2022-06-12,Thompson,"[('Toshika 750', 2), ('Universe Note', 1)]",12090,72.967,-37.7996159,144.9636541,0,Winter,False,2.05922,try everything good,True
ORD217202,ID1492169331,2022-03-27,Thompson,"[('Olivia x460', 2), ('pearTV', 1), ('iAssist Line', 1)]",10985,84.595,-37.7993521,144.9640569,0,Autumn,True,2.10505,"phone is very good my phone was very good they even put a screen protector on it , thank you so much . i would definitely recommend other people to buy phones from this company.",True
ORD265728,ID0248746681,2022-06-18,Bakers,"[('Universe Note', 2), ('Alcon 10', 1), ('iAssist Line', 2), ('Lucent 330S', 2)]",22760,49.678,-37.8177501,144.99180180000005,25,Winter,False,0.91435,reliable seller it’s all good.,True
ORD145237,ID6167417969,2022-06-30,Nickolson,"[('Lucent 330S', 1), ('Alcon 10', 1), ('pearTV', 2), ('Toshika 750', 1)]",27120,45.6795,-37.812352,144.96924140000004,50,Winter,True,0.69549,no wifi can only download updates and other things on wifi and i don't get wifi most of the time where i am. that's why i have unlimited,False
ORD049240,ID0247532605,2022-02-08,Thompson,"[('iAssist Line', 1), ('pearTV', 1), ('Alcon 10', 1), ('Toshika 750', 1)]",21805,35.497,-37.8178648,144.95137409999995,50,Summer,False,0.69088,does everything i needed and morei use it as a travel companion and the size is great.,True
ORD325385,ID0655124861,2022-05-10,Thompson,"[('iAssist Line', 1), ('Alcon 10', 1), ('Toshika 750', 2)]",19815,63.104,-37.8076334,144.9422621,0,Autumn,True,0.70246,only lasted 2 months. i bought this phone for my granddaughters 25th birthday on july 23. she loved it. but it has only been 2 months and the phone doesn’t work anymore. screen is black and won’t do anything. we are very disappointed.,False
